-118	.25 .25 .15 .1  .2  .05
1416	.2  .2  .05 .15 .2  .2
1507	.2  .25 .2  .15 .15 .05
5195	.25 .2  .05 .05 .2  .25
5301	.2  .2   0   0  .1  .5
5418	.2  .2  .05 .1  .2  .25
5821	.2  .2  .05 .05 .15 .35
6106	.2  .2   0  .1  .1  .4
6212	.2  .2  .05 .1  .15 .3
6268	.2  .2  .05 .1  .1  .35
7002	.2  .2  0   .15  .1  .35
