timestamp,price
2023-07-12 00:00:00,40507.29530127125
2023-07-13 00:00:00,40088.6815576074
2023-07-14 00:00:00,41235.945581940476
2023-07-15 00:00:00,40113.157329889546
2023-07-16 00:00:00,40094.82045235619
2023-07-17 00:00:00,39994.922720312825
2023-07-18 00:00:00,39791.31637846904
2023-07-19 00:00:00,39302.84421530541
2023-07-20 00:00:00,39385.23668246103
2023-07-21 00:00:00,39247.25698518906
2023-07-22 00:00:00,39578.62098375526
2023-07-23 00:00:00,39308.021811113984
2023-07-24 00:00:00,39759.162249679684
2023-07-25 00:00:00,38449.21125182915
2023-07-26 00:00:00,38536.19053021356
2023-07-27 00:00:00,38780.749627932
2023-07-28 00:00:00,38625.00235588011
2023-07-29 00:00:00,38842.644742774675
2023-07-30 00:00:00,38899.15860072692
2023-07-31 00:00:00,38791.56256082088
2023-08-01 00:00:00,38569.030795292216
2023-08-02 00:00:00,39193.027220075965
2023-08-03 00:00:00,38898.488687706114
2023-08-04 00:00:00,38953.74971296486
2023-08-05 00:00:00,38932.750731216984
2023-08-06 00:00:00,38877.69007170267
2023-08-07 00:00:00,38853.129254115134
2023-08-08 00:00:00,39018.974109704155
2023-08-09 00:00:00,39984.74943993354
2023-08-10 00:00:00,39701.21023335634
2023-08-11 00:00:00,39561.79572347764
2023-08-12 00:00:00,39507.893831190595
2023-08-13 00:00:00,39528.44860992727
2023-08-14 00:00:00,39360.34640387844
2023-08-15 00:00:00,39571.719809100934
2023-08-16 00:00:00,39361.20121727376
2023-08-17 00:00:00,38921.336037413785
2023-08-18 00:00:00,35903.025353923775
2023-08-19 00:00:00,35336.22508880562
2023-08-20 00:00:00,35420.26888519812
2023-08-21 00:00:00,35438.59282370665
2023-08-22 00:00:00,35369.99220304623
2023-08-23 00:00:00,35276.124815756506
2023-08-24 00:00:00,35779.32341664404
2023-08-25 00:00:00,35507.00008298826
2023-08-26 00:00:00,35436.8178681692
2023-08-27 00:00:00,35390.043492057564
2023-08-28 00:00:00,35457.60213086833
2023-08-29 00:00:00,35510.30406308163
2023-08-30 00:00:00,37598.40348978518
2023-08-31 00:00:00,36949.08173242117
2023-09-01 00:00:00,35028.84783440312
2023-09-02 00:00:00,35028.62309746012
2023-09-03 00:00:00,35084.70501849121
2023-09-04 00:00:00,35245.16219489976
2023-09-05 00:00:00,35119.7998412968
2023-09-06 00:00:00,35167.206893215545
2023-09-07 00:00:00,35126.64898857962
2023-09-08 00:00:00,35845.910804857696
2023-09-09 00:00:00,35380.206105635065
2023-09-10 00:00:00,35363.523496675785
2023-09-11 00:00:00,35204.70479657144
2023-09-12 00:00:00,34129.64328704648
2023-09-13 00:00:00,35050.94570294571
2023-09-14 00:00:00,35536.24359951865
2023-09-15 00:00:00,35863.283328785
2023-09-16 00:00:00,36045.97789768459
2023-09-17 00:00:00,35949.92358991859
2023-09-18 00:00:00,35866.45409600463
2023-09-19 00:00:00,36068.77578060349
2023-09-20 00:00:00,36591.445174508284
2023-09-21 00:00:00,36546.575146148534
2023-09-22 00:00:00,35797.76761289629
2023-09-23 00:00:00,35852.32242201233
2023-09-24 00:00:00,35854.86625502582
2023-09-25 00:00:00,35381.995826508726
2023-09-26 00:00:00,35369.34936243658
2023-09-27 00:00:00,35425.66148714174
2023-09-28 00:00:00,35574.01581617262
2023-09-29 00:00:00,36434.61936945284
2023-09-30 00:00:00,36581.81943908105
2023-10-01 00:00:00,36653.41017360188
2023-10-02 00:00:00,37965.02861828285
2023-10-03 00:00:00,37765.67236023422
2023-10-04 00:00:00,37618.54228473775
2023-10-05 00:00:00,38199.97902946639
2023-10-06 00:00:00,37609.37128117343
2023-10-07 00:00:00,38251.00645576114
2023-10-08 00:00:00,38283.07163549942
2023-10-09 00:00:00,38199.32833069166
2023-10-10 00:00:00,37479.61384657563
2023-10-11 00:00:00,37210.314085584396
2023-10-12 00:00:00,36480.41576005738
2023-10-13 00:00:00,36577.83528808143
2023-10-14 00:00:00,36682.43881594364
2023-10-15 00:00:00,36717.94246139685
2023-10-16 00:00:00,37043.213621591734
2023-10-17 00:00:00,38819.61688743089
2023-10-18 00:00:00,38789.36607713952
2023-10-19 00:00:00,38851.90500678996
2023-10-20 00:00:00,39390.4829253704
2023-10-21 00:00:00,40742.60882694448
2023-10-22 00:00:00,41075.77426723652
2023-10-23 00:00:00,41146.063883508534
2023-10-24 00:00:00,45109.88615961545
2023-10-25 00:00:00,46511.66077356205
2023-10-26 00:00:00,47588.92143658354
2023-10-27 00:00:00,47226.18721774319
2023-10-28 00:00:00,47057.02602629762
2023-10-29 00:00:00,47325.68562941993
2023-10-30 00:00:00,47931.75493985738
2023-10-31 00:00:00,47697.39055849225
2023-11-01 00:00:00,48108.66818904364
2023-11-02 00:00:00,49068.3308419409
2023-11-03 00:00:00,48011.32136966513
2023-11-04 00:00:00,47486.48117672136
2023-11-05 00:00:00,47919.93561226845
2023-11-06 00:00:00,47893.89343282646
2023-11-07 00:00:00,47983.20476951664
2023-11-08 00:00:00,48789.556556469666
2023-11-09 00:00:00,49375.19729579217
2023-11-10 00:00:00,50788.3299827222
2023-11-11 00:00:00,51540.66525834416
2023-11-12 00:00:00,51234.925905966666
2023-11-13 00:00:00,51152.346872113245
2023-11-14 00:00:00,50457.58017415788
2023-11-15 00:00:00,48686.333493804894
2023-11-16 00:00:00,51859.22241142853
2023-11-17 00:00:00,49794.71479160572
2023-11-18 00:00:00,50125.218969178146
2023-11-19 00:00:00,50203.81333127269
2023-11-20 00:00:00,51322.085893475036
2023-11-21 00:00:00,51457.39869873972
