timestamp,volume
2023-07-13 00:00:00,17234661009.383785
2023-07-14 00:00:00,27871261306.377964
2023-07-15 00:00:00,29083463332.78617
2023-07-16 00:00:00,8249653954.471128
2023-07-17 00:00:00,11053024106.928745
2023-07-18 00:00:00,14484781329.369898
2023-07-19 00:00:00,17319092116.081635
2023-07-20 00:00:00,11249087817.775208
2023-07-21 00:00:00,14648305562.840595
2023-07-22 00:00:00,11236171450.167027
2023-07-23 00:00:00,8924688105.881397
2023-07-24 00:00:00,9824867158.47327
2023-07-25 00:00:00,20018747531.807304
2023-07-26 00:00:00,10457046656.04789
2023-07-27 00:00:00,17286282148.37516
2023-07-28 00:00:00,11967896048.230831
2023-07-29 00:00:00,10180034283.588049
2023-07-30 00:00:00,6469605043.534925
2023-07-31 00:00:00,10431174524.447157
2023-08-01 00:00:00,8762936253.291376
2023-08-02 00:00:00,20288320936.938206
2023-08-03 00:00:00,25712424603.35102
2023-08-04 00:00:00,16741284615.220116
2023-08-05 00:00:00,16212469627.696148
2023-08-06 00:00:00,7141043968.978351
2023-08-07 00:00:00,7170579986.782168
2023-08-08 00:00:00,17721709841.691994
2023-08-09 00:00:00,19608082569.348618
2023-08-10 00:00:00,19636658319.47521
2023-08-11 00:00:00,10899263169.005642
2023-08-12 00:00:00,6251988683.145782
2023-08-13 00:00:00,5368136656.37357
2023-08-14 00:00:00,6391235023.105381
2023-08-15 00:00:00,16701026054.418001
2023-08-16 00:00:00,15549093256.445473
2023-08-17 00:00:00,20046610724.160748
2023-08-18 00:00:00,40595877204.6151
2023-08-19 00:00:00,24507901965.88657
2023-08-20 00:00:00,4552284326.556859
2023-08-21 00:00:00,11249514999.088724
2023-08-22 00:00:00,12699222042.688128
2023-08-23 00:00:00,18567745482.715736
2023-08-24 00:00:00,19750405099.608547
2023-08-25 00:00:00,16250684734.37756
2023-08-26 00:00:00,3513489214.516346
2023-08-27 00:00:00,4656151217.52067
2023-08-28 00:00:00,6448794523.469619
2023-08-29 00:00:00,13595119698.59786
2023-08-30 00:00:00,39946579880.02406
2023-08-31 00:00:00,21697803220.327324
2023-09-01 00:00:00,27507994884.117207
2023-09-02 00:00:00,21610463053.121807
2023-09-03 00:00:00,11132580808.00795
2023-09-04 00:00:00,11270397626.80685
2023-09-05 00:00:00,9110675523.617397
2023-09-06 00:00:00,10411606177.932962
2023-09-07 00:00:00,16675299415.726032
2023-09-08 00:00:00,6188647893.374471
2023-09-09 00:00:00,11005492488.810865
2023-09-10 00:00:00,552945346.5029998
2023-09-11 00:00:00,8997896786.166899
2023-09-12 00:00:00,20178969274.74198
2023-09-13 00:00:00,22799161460.63706
2023-09-14 00:00:00,17584010094.60117
2023-09-15 00:00:00,15868537250.280949
2023-09-16 00:00:00,13220726496.182701
2023-09-17 00:00:00,1657359884.4911962
2023-09-18 00:00:00,7831830276.94651
2023-09-19 00:00:00,22225244444.679413
2023-09-20 00:00:00,16959887135.105827
2023-09-21 00:00:00,18191416976.679367
2023-09-22 00:00:00,11010212877.735006
2023-09-23 00:00:00,13449380343.245502
2023-09-24 00:00:00,8882802467.317038
2023-09-25 00:00:00,9740385685.90927
2023-09-26 00:00:00,16105263974.36598
2023-09-27 00:00:00,13229521755.937437
2023-09-28 00:00:00,17401705177.957165
2023-09-29 00:00:00,22505313327.333923
2023-09-30 00:00:00,12311831753.494272
2023-10-01 00:00:00,8555811082.923973
2023-10-02 00:00:00,12703502401.695143
2023-10-03 00:00:00,24790214492.165264
2023-10-04 00:00:00,17379468619.67364
2023-10-05 00:00:00,14949774636.768002
2023-10-06 00:00:00,18336210302.852657
2023-10-07 00:00:00,18905068002.39711
2023-10-08 00:00:00,9887996665.778673
2023-10-09 00:00:00,9761101049.188612
2023-10-10 00:00:00,10377170053.253786
2023-10-11 00:00:00,13790351577.24064
2023-10-12 00:00:00,19853894312.07666
2023-10-13 00:00:00,14871963591.650465
2023-10-14 00:00:00,19603794617.095654
2023-10-15 00:00:00,7576669075.935837
2023-10-16 00:00:00,9011492879.598999
2023-10-17 00:00:00,31031393720.25628
2023-10-18 00:00:00,14200131931.58232
2023-10-19 00:00:00,18461668662.237465
2023-10-20 00:00:00,15355129746.340282
2023-10-21 00:00:00,32346276635.81916
2023-10-22 00:00:00,10231150179.16519
2023-10-23 00:00:00,15529881514.870005
2023-10-24 00:00:00,48676698408.02612
2023-10-25 00:00:00,63851113937.29397
2023-10-26 00:00:00,32911997814.26611
2023-10-27 00:00:00,24477236528.89089
2023-10-28 00:00:00,19640682663.829105
2023-10-29 00:00:00,11704582729.308315
2023-10-30 00:00:00,14368624907.00353
2023-10-31 00:00:00,23607878647.93444
2023-11-01 00:00:00,22781982392.278374
2023-11-02 00:00:00,25798420296.582397
2023-11-03 00:00:00,28443523430.78672
2023-11-04 00:00:00,23590599229.466118
2023-11-05 00:00:00,13674420197.263111
2023-11-06 00:00:00,17480145103.8983
2023-11-07 00:00:00,17419269694.128395
2023-11-08 00:00:00,25584805696.33531
2023-11-09 00:00:00,20300575720.536034
2023-11-10 00:00:00,52753293846.63037
2023-11-11 00:00:00,31953315682.72987
2023-11-12 00:00:00,16607755158.143013
2023-11-13 00:00:00,12186829101.470472
2023-11-14 00:00:00,24906443909.65716
2023-11-15 00:00:00,30586712070.114563
2023-11-16 00:00:00,38965539483.49041
2023-11-17 00:00:00,16537940620.720192
2023-11-18 00:00:00,31128014192.98425
2023-11-19 00:00:00,12183513178.594938
2023-11-20 00:00:00,17282582471.28559
2023-11-21 00:00:00,21968677824.460358
